Código,Descripción,URL Imagen,URL Producto,,Precio,Vista
306010829,Facilim - Lampazos,LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/17-1-facilim-lampazos-8cd71b55bbea17966b17860401967738-1024-1024.webp,https://www.msanchezycia.com.ar/productos/facilim-lampazos/,100,3
205010201,Raid MMM (Azul),DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/18-raid-mmm-azul-2fe5ee714188592de817860400954127-1024-1024.webp,https://www.msanchezycia.com.ar/productos/raid-mmm-azul/,100,0
205010202,Raid Casa y Jard (Nar),DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/19-raid-casa-y-jard-nar-d9972519ed923def6617860401130966-1024-1024.webp,https://www.msanchezycia.com.ar/productos/raid-casa-y-jard-nar/,100,0
205010203,Raid Exterminador (Negro),DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/20-raid-exterm-negro-3e718cdcff466ed4ff17860400592404-1024-1024.webp,https://www.msanchezycia.com.ar/productos/raid-exterminador-negro/,100,0
205010209,Raid MMM Sin Olor(Azul),DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/21-raid-mmm-sin-olorazul-e66b16cc5533e1761117860400779329-1024-1024.webp,https://www.msanchezycia.com.ar/productos/raid-mmm-sin-olor-azul/,100,0
342510301,Blem Lustramuebles (Marron),LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/22-blem-lustr-marron-e95f4585b5f77240be17860399795361-1024-1024.webp,https://www.msanchezycia.com.ar/productos/blem-lustramuebles-marron/,100,0
342510302,8M Aerosol,DESINFECTANTES E INSECTICIDAS > Aromatizadores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/23-8m-aerosol-b75c89b6f9cba6ef0417860400204002-1024-1024.webp,https://www.msanchezycia.com.ar/productos/8m-aerosol/,100,0
347010026,Rugbee 440 cm,DESINFECTANTES E INSECTICIDAS > Aromatizadores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/24-rugbee-440-cm-b4a3d56f05856d53c017860396276217-1024-1024.webp,https://www.msanchezycia.com.ar/productos/rugbee-440-cm/,100,0
347010111,View 440 cm,DESINFECTANTES E INSECTICIDAS > Aromatizadores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/25-view-440-cm-ec0c6c86256c8403a417860397212304-1024-1024.webp,https://www.msanchezycia.com.ar/productos/view-440-cm/,100,0
347010150,Lem 440 cm,DESINFECTANTES E INSECTICIDAS > Desinfectantes,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/26-lem-440-cm-bb6e9a3561b9198d9817860395152524-1024-1024.webp,https://www.msanchezycia.com.ar/productos/lem-440-cm/,100,0
152510690,Escobillón Loc 22 SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/27-escobillon-loc-22-schez-a91de5af761a60355317860395771976-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-loc-22-schez/,100,0
152510690,Escobillón Loc 22 SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_127-900ae0ff85ef76501c17864961593902-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-loc-22-schez/,100,1
152510690,Escobillón Loc 22 SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_110-377a4db3ec91cf848017864961650467-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-loc-22-schez/,100,2
152510692,Escobillón Vaporeto 22 SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/28-escobillon-vaporeto-22-schez-7df94e93f0eb11a5be17860395975337-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-vaporeto-22-schez/,100,0
152510692,Escobillón Vaporeto 22 SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_090-2a9e72d99932f95a2617864958771950-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-vaporeto-22-schez/,100,1
152510692,Escobillón Vaporeto 22 SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_photo_009-55a25bddd7e80e150117864961101699-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-vaporeto-22-schez/,100,2
152510684,Escobillón AZ SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/29-escobillon-az-schez-4c03b18010c92c8f8617860394761839-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-az-schez/,100,0
152510684,Escobillón AZ SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_086-307abb49fb33df68a817864962044489-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-az-schez/,100,1
152510684,Escobillón AZ SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_090-5fb0b22060423f915e17864962061756-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-az-schez/,100,2
152510691,Escobillón Clasico SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/30-escobillon-clasico-schez-e66d0de4707dc24bbd17860394942434-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-clasico-schez/,100,0
152510691,Escobillón Clasico SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_photo_008-d67a1df5a54aae6f3c17864962416240-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-clasico-schez/,100,1
152510691,Escobillón Clasico SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_177-b72cb79031dcc5e71017864962486695-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-clasico-schez/,100,2
152510673,Escobillón Plany SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/photo_037-3980763ecc3fe3b71417864964441274-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-plany-schez/,100,0
152510673,Escobillón Plany SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/31-escobillon-plany-schez-89bee901be5b6e750217860394372756-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-plany-schez/,100,1
152510673,Escobillón Plany SCHEZ,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_193-a6f9e471597a2cbb1117864963776485-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-plany-schez/,100,2
152510706,Escobillón Lupo XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/32-escobillon-lupo-xper-d4920325aa4b9eebda17860394557566-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-lupo-xper/,100,0
152510706,Escobillón Lupo XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_112-ce0e6f6402689aea8e17864965049516-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-lupo-xper/,100,1
152510706,Escobillón Lupo XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_144-3e0090b856456127c717864970942464-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-lupo-xper/,100,2
152510707,Escobillón Marsella XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/33-escobillon-marsella-xper-d554e46c334247e4aa17860393927655-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-marsella-xper/,100,0
152510707,Escobillón Marsella XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_088-f697e7ca42bd0b4ee317864970312256-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-marsella-xper/,100,1
